indicador,fuente,nombre,unidad,anio,region,region_nombre,est,li,ls,cobertura
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2022,10,Los Lagos,21.44,19.7,23.18,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2022,11,Aysén,14.94,12.8,17.09,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2022,12,Magallanes,14.71,12.04,17.37,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2022,13,Metropolitana,16.53,15.67,17.4,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2022,14,Los Ríos,20.81,19.24,22.38,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2022,15,Arica y Parinacota,25.3,22.75,27.86,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2022,16,Ñuble,29.65,27.63,31.66,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2024,0,Nacional,17.29,16.9,17.68,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2024,1,Tarapacá,20.81,18.34,23.28,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2024,2,Antofagasta,16.39,14.75,18.02,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2024,3,Atacama,18.58,16.91,20.25,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2024,4,Coquimbo,20.67,18.95,22.4,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2024,5,Valparaíso,17.79,16.58,19,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2024,6,O'Higgins,17.86,16.48,19.23,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2024,7,Maule,24.34,22.85,25.83,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2024,8,Biobío,19.27,18.16,20.38,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2024,9,La Araucanía,28.59,27,30.18,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2024,10,Los Lagos,16.48,15.06,17.9,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2024,11,Aysén,14.33,12.13,16.54,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2024,12,Magallanes,9.94,8.43,11.45,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2024,13,Metropolitana,13.34,12.63,14.06,regional
casen_pobreza_n24,CASEN (MDSF),Pobreza por ingresos — metodología 2024 (%),%,2024,14,Los Ríos,22.27,20.43,24.11,regional
